epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,775.151,0.94801,0.76384,1.10623,0.92251,0.94714,0.95083,0.64606,1.08479,0.75488,1.17143,0.000821206,0.000821206,0.000821206
43,793.282,0.9264,0.71168,1.06572,0.93204,0.95518,0.9579,0.64461,1.08773,0.7589,1.17918,0.000800577,0.000800577,0.000800577
44,811.607,0.96673,0.7245,1.11692,0.92546,0.95461,0.96204,0.66809,1.05352,0.75106,1.155,0.000779948,0.000779948,0.000779948
45,829.653,0.95074,0.73201,1.09913,0.9422,0.93389,0.96572,0.68288,1.02218,0.75325,1.13126,0.000759318,0.000759318,0.000759318
46,847.895,0.93289,0.73212,1.11653,0.96752,0.99575,0.9933,0.69316,1.03269,0.73908,1.12341,0.000738689,0.000738689,0.000738689
47,866.051,0.93969,0.69621,1.06972,0.98325,0.99632,0.99423,0.69263,1.04944,0.69811,1.11309,0.00071806,0.00071806,0.00071806
48,884.215,0.93811,0.69467,1.06202,0.983,0.99928,0.99415,0.69757,1.0435,0.66501,1.11308,0.000697431,0.000697431,0.000697431
49,902.345,0.93971,0.70695,1.09317,0.97706,1,0.99458,0.68221,1.0907,0.66034,1.14117,0.000676802,0.000676802,0.000676802
50,920.328,0.89331,0.68667,1.07774,0.97865,1,0.99458,0.66158,1.11766,0.66458,1.16988,0.000656173,0.000656173,0.000656173
51,938.477,0.89827,0.68475,1.06351,0.97855,0.99138,0.99423,0.68136,1.07796,0.64924,1.16234,0.000635544,0.000635544,0.000635544
52,956.676,0.91004,0.69162,1.06932,0.97454,0.97414,0.99149,0.70345,1.06472,0.65758,1.16751,0.000614915,0.000614915,0.000614915
53,974.908,0.85584,0.67044,1.04665,0.97245,0.98276,0.98581,0.70179,1.05087,0.67612,1.15757,0.000594286,0.000594286,0.000594286
54,993.094,0.86458,0.63499,1.03962,0.96857,0.97223,0.98021,0.69495,1.04388,0.68805,1.14176,0.000573656,0.000573656,0.000573656
55,1011.07,0.85202,0.64685,1.0364,0.94047,0.97113,0.98472,0.69468,1.04886,0.69672,1.13702,0.000553027,0.000553027,0.000553027
56,1029.29,0.84055,0.67539,1.06107,0.96082,0.94515,0.9908,0.6858,1.05012,0.68016,1.13479,0.000532398,0.000532398,0.000532398
57,1047.46,0.83819,0.63013,1.04012,0.96366,0.97414,0.98846,0.69458,1.06135,0.65759,1.14855,0.000511769,0.000511769,0.000511769
58,1065.66,0.84551,0.62938,1.02864,0.97919,0.93999,0.98831,0.69384,1.04683,0.66176,1.14555,0.00049114,0.00049114,0.00049114
59,1083.67,0.81526,0.62839,1.03609,0.92155,0.93794,0.94948,0.66084,1.02781,0.66605,1.14902,0.000470511,0.000470511,0.000470511
60,1101.7,0.81265,0.60966,1.02236,0.92619,0.93761,0.93953,0.66323,1.055,0.67541,1.18132,0.000449882,0.000449882,0.000449882
61,1119.91,0.83169,0.62737,1.03065,0.93304,0.93876,0.94214,0.67099,1.05949,0.67506,1.18247,0.000429253,0.000429253,0.000429253
62,1138,0.80912,0.62236,1.0489,0.94066,0.93477,0.94472,0.65837,1.04943,0.66813,1.16523,0.000408623,0.000408623,0.000408623
63,1155.88,0.85034,0.64975,1.06897,0.9663,0.94022,0.95435,0.67963,1.05532,0.66694,1.15887,0.000387994,0.000387994,0.000387994
64,1173.96,0.84532,0.63694,1.05436,0.96411,0.92565,0.95692,0.66855,1.06021,0.67345,1.16397,0.000367365,0.000367365,0.000367365
65,1191.93,0.80727,0.6083,1.01322,0.94049,0.95151,0.9592,0.67013,1.06403,0.67418,1.17453,0.000346736,0.000346736,0.000346736
66,1210.15,0.79371,0.64146,1.04134,0.93248,0.96013,0.96842,0.68018,1.05402,0.66981,1.17772,0.000326107,0.000326107,0.000326107
67,1228.02,0.77719,0.59054,1.0204,0.98901,0.9569,0.99213,0.69851,1.03662,0.66373,1.17906,0.000305478,0.000305478,0.000305478
68,1246.27,0.74465,0.5829,0.98646,0.98691,0.97159,0.9884,0.69335,1.02978,0.64062,1.17368,0.000284849,0.000284849,0.000284849
69,1264.18,0.77985,0.60889,1.03337,0.97393,0.98482,0.99357,0.6939,1.04194,0.61622,1.17167,0.00026422,0.00026422,0.00026422
70,1282.35,0.76049,0.57306,0.99946,0.97455,0.98924,0.99339,0.69332,1.05574,0.5991,1.17191,0.00024359,0.00024359,0.00024359
71,1299.96,0.6789,0.64729,0.97084,0.97498,0.99067,0.9933,0.68483,1.09005,0.6017,1.17982,0.000222961,0.000222961,0.000222961
72,1317.6,0.66842,0.61679,0.94554,0.96983,0.99138,0.99288,0.68391,1.14654,0.61013,1.19873,0.000202332,0.000202332,0.000202332
73,1335.28,0.65049,0.57823,0.94606,0.98294,0.98799,0.99432,0.69215,1.15201,0.60875,1.19958,0.000181703,0.000181703,0.000181703
74,1353.04,0.6878,0.59609,0.9984,0.983,0.98853,0.99441,0.69589,1.13673,0.61253,1.19214,0.000161074,0.000161074,0.000161074
75,1370.66,0.63356,0.54673,0.94366,0.98873,0.98276,0.99458,0.70455,1.09395,0.61175,1.17797,0.000140445,0.000140445,0.000140445
76,1388.34,0.63727,0.56195,0.94284,0.99423,0.98276,0.99458,0.71255,1.04982,0.60845,1.16618,0.000119816,0.000119816,0.000119816
77,1406.09,0.67809,0.58875,0.96041,0.99489,0.98838,0.99475,0.71725,1.02235,0.60229,1.1585,9.91865e-05,9.91865e-05,9.91865e-05
78,1423.81,0.63941,0.54947,0.95022,0.99421,0.98862,0.99468,0.71508,1.01484,0.59517,1.15662,7.85574e-05,7.85574e-05,7.85574e-05
79,1441.56,0.63951,0.55605,0.92135,0.9941,0.98876,0.99468,0.71447,1.01454,0.59201,1.15448,5.79283e-05,5.79283e-05,5.79283e-05
80,1459.35,0.65257,0.54222,0.97129,0.99406,0.98879,0.9946,0.71504,1.01316,0.58995,1.15247,3.72991e-05,3.72991e-05,3.72991e-05
